sesion,zona,clase,tiene_mina,parche_x,parche_y,proba,proba_concuota
6,ZONA_CONTROL,Control,0,512,704,0.12589094527065753,0.4468594163656235
6,ZONA_CONTROL,Control,0,576,704,0.015564715978689492,0.18981833988800645
6,ZONA_CONTROL,Control,0,640,704,0.006816233939025551,0.14089684784412385
6,ZONA_CONTROL,Control,0,704,704,0.009416821994818747,0.24342122822999954
6,ZONA_CONTROL,Control,0,768,704,0.0006265611009439453,0.025207555666565896
6,ZONA_CONTROL,Control,0,832,704,0.025382347241975366,0.09592550480738282
6,ZONA_CONTROL,Control,0,896,704,0.02441902703139931,0.0755656860768795
6,ZONA_CONTROL,Control,0,960,704,0.0007212566721136682,0.0019686113228090107
6,ZONA_CONTROL,Control,0,1024,704,0.0004978731914889068,0.0015079337579663842
6,ZONA_CONTROL,Control,0,1088,704,0.00032158510439330714,0.0011068784224335104
6,ZONA_CONTROL_2,Control,0,0,0,0.14838317362591624,0.0350436408771202
6,ZONA_CONTROL_2,Control,0,64,0,0.015408458118326963,0.011308662104420364
6,ZONA_CONTROL_2,Control,0,128,0,0.028909914754331113,0.03067181850783527
6,ZONA_CONTROL_2,Control,0,192,0,0.022892380109988154,0.013901071855798364
6,ZONA_CONTROL_2,Control,0,256,0,0.0009510171294095926,0.0035583985853008928
6,ZONA_CONTROL_2,Control,0,320,0,0.003479919850360602,0.0009195871738484129
6,ZONA_CONTROL_2,Control,0,384,0,0.017108477652072906,0.0043720103072701025
6,ZONA_CONTROL_2,Control,0,448,0,0.03215338904410601,0.016474585235118865
6,ZONA_CONTROL_2,Control,0,512,0,0.26722122728824615,0.2250735443085432
6,ZONA_CONTROL_2,Control,0,576,0,0.4117071580141783,0.20000388622283935
6,ZONA_CONTROL_2,Control,0,640,0,0.44279215261340144,0.13698100820183753
6,ZONA_CONTROL_2,Control,0,704,0,0.720663483440876,0.7239642143249512
6,ZONA_CONTROL_2,Control,0,768,0,0.1272459678351879,0.16831479761749507
6,ZONA_CONTROL_2,Control,0,832,0,0.007413832430029288,0.01852341778576374
6,ZONA_CONTROL_2,Control,0,896,0,0.0015749572427012025,0.006257022707723081
6,ZONA_CONTROL_2,Control,0,960,0,0.0018769287926261313,0.0021550280740484594
